و دولت است؛ ایجاد یک روابط عادلانه که این هم حمایت از کارگران است؛ و این البتّه جزو ,"میان کارگر، کارفرما و دولت  یک حمایت دیگر به طور کلّی ایجاد روابط منطقی و عادلانه میان کارگر و "
"و امثال اینها، یک تعبیر غلط از یک واقعیّت است؛ همه باید با هم همکاری کنند. اصلاً نگاه ",کار شما است. در هر سطحی باید این‌گونه فکر کنیم؛ باید کار کنیم. نگاه مخاصمه‌آمیز میان کارگر و 
است؛ [نقش] اینها این است.(۸) ولی نظر من این قسمت قضیّه نبود؛ نظرم این است که شما که ,"این جنگ اقتصادی‌ای که ما داریم، خطّ مقدّم و جبهه‌ی جلوییِ خط، متعلّق به کارگر و "
کارآفرین هم مهم است؛ او هم باید باشد تا کارگر بتواند کار کند. کارگر و کارآفرین دو همکارند در ,"نقش انکارناکردنی و‌ غیر قابل انکار است، نقش مهمّی دارد. اگر بخواهیم درست عرض بکنیم، میگوییم [نقش] کارگر و "
دو همکارند در خطّ مقدّم نبرد اقتصادی. امروز ما دچار یک نبرد اقتصادی هستیم دیگر؛ جنگِ اقتصادی است؛ ,میگوییم [نقش] کارگر و کارآفرین. کارآفرین هم مهم است؛ او هم باید باشد تا کارگر بتواند کار کند. کارگر و 
"دو بال پروازند؛ یعنی اگر کارگر باشد، کارآفرین نباشد کار پیش نمیرود؛ [اگر] کارآفرین باشد، کارگر نباشد کار پیش ",یا بین کار و سرمایه ــ هر تعبیری که شما بکنید ــ خب اوّلاً باید دانست که کارگر و 
یا بین کار و سرمایه ــ هر تعبیری که شما بکنید ــ خب اوّلاً باید دانست که کارگر ,"ه دانش‌بنیان به معنای واقعی کلمه. در مورد تنظیم رابطه‌ی درآمدی بین کارگر و کارفرما، یا کارگر و "
"در خطّ مقدّم این مبارزه هستند. هرچه شما خوب کار کنید، هرچه به خوب کار کردنِ شما کمک ","نبود؛ نظرم این است که شما که دارید با آمریکا مبارزه میکنید، قدر کار خودتان را بدانید؛ یعنی کارگر و "
"موفّق کشور جمع بودند، من به آنها [هم] گفتم؛(۱۱) گفتم این کشور باید رشد اقتصادی پیدا کند، بدون ",مهم‌ترین کارهای ما کارهای اقتصادی است. چند روز پیش در همین حسینیّه عدّه‌ای از تولیدکنندگان و 
"کشور اینجا آمدند، در حسینیّه با بنده ملاقات داشتند،(۱۳) تعدادی ــ ده پانزده نفر ــ صحبت کردند؛ بعضی ","کرد، هم میشود کم‌اثر کرد. بعضی از همین موانع، در کنار تأثیرات منفی، تأثیرات مثبت هم داشته. تولیدکنندگان و "
"نسبتاً کارهای خوبی انجام گرفته. اینجا هم دوستانی که صحبت کردند، ــ چند نفر که صحبت کردند ــ همه ","کردم، دیدم کارهای خوبی شده؛ هم در زمینه‌ی مسائل دانش‌بنیان، هم در زمینه‌ی بحث اشتغال‌آفرینی و "
"داخلی چه‌جوری رفتار میکنید، بعد اگر چنانچه دیدند خوب رفتار میکنید، آنها هم می‌آیند. این حرف درستی ","اینها ــ به تعبیر او ــ ویترین نظامند، جعبه‌آینه‌ی نظامند؛ میخواهند ببینند که شما با کارفرمای داخلی و "
و حفظ حرمت دارائیهاى ناشى از راههاى قانونى و مشروع ۱۱ - برنامه ریزى جامع براى دستیابى به جهش در صادرات ,"امر واگذارى مؤسسات اقتصادى دولت به بخشهاى تعاونى و خصوصى ۱۰ - حفظ امنیت سرمایه گذارى، و ارج نهادن به سازندگى و "
و ثبات ارزش پول ملّی. ۸-    بهبود فضای کسب و کار با هدف افزایش تولید ملّی و اصلاح ,ارز آوری مثبت یا خالص ارزبری منفی همراه باشد. ۷-    مدیریت منابع ارزی با تأکید بر تأمین نیازهای تولید ملی و 
بتواند انضباط را در محیط کار تأمین کند؛ یعنی این ‌جور هم نباشد که جوری رفتار بشود که بکلّ,"عادلانه‌ای اینجا به وجود بیاید [همین است]. قانون عادلانه یعنی اینکه هم کارگر خیالش آسوده باشد، هم کارفرما و "
"کند، مردّد میکند. ما حالا دنبال سرمایه‌گذاری خارجی هم هستیم، به خارجی‌ها میگوییم بیایند سرمایه‌گذاری ","بی‌اطمینانی به وجود می‌آورد، کارآفرین را مردّد میکند، آن کسی را که میخواهد سرمایه‌گذاری کند و "
"کشور بتوانند برای آینده‌ی کشور، برای پیشرفت اقتصادی کشور، واقعاً نقش ایفا کنند و ان‌شاءالله اوضاع اقتصادی ","دارد پیش میرود، من خرسندم و راضی هستم؛ باید تلاش بیشتری انجام بگیرد و بخش خصوصی و سرمایه‌گذاران و "
"و توسعه فعالیتهاى اشتغال زا در جهت کاهش بیکارى، بخصوص در بخشهاى کشاورزى و صنایع تبدیلى و کارگاههاى متوسط ",معیشت روستانشینان. ۶ - فراهم آوردن زمینه هاى اشتغال بیشتر با ایجاد انگیزه هاى مناسب و حمایت و تشویق سرمایه گذارى و 
"خود ثروتی به‌دست می‌آورَد، نظام اسلامی از او حمایت میکند و تأیید میکند. اگر چنانچه فضا ",امنیت خواهد کرد. آن وقت در یک چنین فضایی آن کسی که با ابتکار خود یا سرمایه‌ی خود یا 
"کشور را ترک کردند، پولشان را برداشته‌اند و رفته‌اند یک کشور دیگر. میگوید «آقا ببین! به چه ",ناس» همینها هستند که دائم در حال وسوسه‌اند. یک مثال دیگر؛ مثلاً فرض کنید چهار نفر سرمایه‌دار یا 
"که میتواند کار بکند و تلاش میکند و کار میکند و کارش موفّق است، چطور سرحال و بانشاط ","جوان، مایه‌ی نشاط و تحرّک و شوق و زنده بودن و سرحال بودن است. شما ببینید کارگری یا "
ما هست واقعاً شگفت‌آور است. میتوانند کارهای خوبی انجام بدهند؛ گاهی کارهای بظاهر نشدنی را اینها انجام داده‌,"ما ملاقات کردند و صحبتهایی کردند؛(۹) انسان وقتی به حرفهای اینها گوش میکند، [میبیند] توانایی‌هایی که در اختیار این "
"بااخلاص و متدیّن، چندی پیش آمدند با ما ملاقات کردند و گفتند که برای مجوّزِ یک چیز ",مانند اینها نکنیم؛ کار انقلابی یعنی برای یک مجوّز [راه‌ها را کوتاه کنند]. عدّه‌ای از این 
و کارگران بر دشمن تحمیل کردید. یک نکته این است که من سال گذشته اعلام کردم «جهش تولید».(۴) جهش ,او است. الحمدلله؛ این به خاطر تلاشی بود که در کشور بحمدالله انجام شد. این شکست را در واقع شما 
"شما مهندس، شما طرّاح، شما فعّالِ گوناگون در بخشهای مختلف کاری، نیروی انسانی هستید. این ارزش والای ","انسانی بافکر ندارند. نیروی انسانی بزرگ‌ترین ثروت یک کشور است، و نیروی انسانی همین شما هستید؛ شما کارگر، شما "
"در کشور است. یکی از غفلتهایی که در این چند سال شد، این بود که به مسکن پرداخته نشد؛ ",این هم یک مطلب.    یک مطلب هم مسئله‌ی مسکن‌سازی است؛ اصلاً رشته‌ی مسکن از جمله رشته‌های 
و اشتغال‌زایی مزیت‌دار بومی و مقاوم‌سازی تأسیسات و زیرساخت‌ها و اماکن روستایی با تأکید بر ,"توزیع منابع و ارتقاء شأن و منزلت اجتماعی، ایجاد فرصت‌های جدید اقتصادی و حمایت‌های ویژه از فعالیت‌های "
"را مردّد میکند، آن کسی را که میخواهد سرمایه‌گذاری کند و کارآفرینی کند، مردّد میکند. ما ","تغییراتِ پی‌در‌پی بدهیم، خیلی مضر است برای کشور؛ خیلی مضر است. حالت بی‌اطمینانی به وجود می‌آورد، "
کشور دعوت میکنم که وارد میدان تولید و کار بشوند و ان‌شاءﷲ در این زمینه کار انجام بدهند.  ,"مسئولیّتی است. [وقتی] جنس نامرغوب را بفرستیم، خب معلوم است که بازار صادراتی از بین خواهد رفت. بنده از "
"مبتکران، سرمایه‌گذاران، دانشمندان، احساس کنند که با موانع غیر معقول مواجه نیستند، بتوانند حرکت کنند.  الزام هفتم و ","را پیدا کرد - موانع حقوقی و قضائی هم وجود دارد؛ اینها را باید شناسایی کرد و برداشت. بایستی فعالان اقتصادی، "
"باشد، کارگر نباشد کار پیش نمیرود؛ اینها هر دو نیاز قطعی هستند، بایستی به اینها [توجّه کرد]. یک ","لاً باید دانست که کارگر و کارآفرین دو بال پروازند؛ یعنی اگر کارگر باشد، کارآفرین نباشد کار پیش نمیرود؛ [اگر] "
صحبت کردیم؛ حرفهای آنها را شنیدیم و مطالبی به آنها گفتیم. دیدار سال گذشته‌ی ما دیدار بسیار خوب ,دورادور بود لکن با مراکز متعدّد کارگاهی و کارگری ارتباط تصویری پیدا شد؛ هم با کارگران و هم با 
"نباشد کار پیش نمیرود؛ [اگر] کارآفرین باشد، کارگر نباشد کار پیش نمیرود؛ اینها هر دو نیاز قطعی هستند، بایستی ","که شما بکنید ــ خب اوّلاً باید دانست که کارگر و کارآفرین دو بال پروازند؛ یعنی اگر کارگر باشد، "
"سالم کمک بشود و تولید رونق پیدا بکند، کارشناسان میگویند که آن وقت مشکل بیکاری حل میشود، مشکل تورّ","میکنند، اینها را بایستی مراقبت کرد، از اینها غفلت نباید کرد. اگر جلوی اینها گرفته بشود و در مقابل به "
"و کارگر، از صنعت و کشاورزی و خدمات و امثال اینها؛ اینها همه جزو چیزهایی است که وقتی با ","این یک حرکتی است برای تداوم انقلاب. تلاش علمای حوزه و دانشگاه، تدریس علمای حوزه و دانشگاه. فعّالیّت "
"و ثروت‌آفرین برای کشور است. حالا، غرض [اینکه] اینها هم مورد توجّه باید قرار بگیرد. در دولت ",قبیل چیزها. این مسئله‌ی معدن. امّا مسئله‌ی مسکن همین جور است. مسکن یکی از فعّالیّتهای 
"با مسؤولیت نظام آموزشی کشور(آموزش و پرورش، آموزش فنی و حرفه ای و آموزش عالی) و توأم کردن ","کشور. ۲ـ آموزش نیروی انسانی متخصص، ماهر و کارآمد متناسب با نیازهای بازار کار(فعلی و آتی) و ارتقاء توان "
و رفع تبعیض‌های ناروا در بهره‌مندی از منابع عمومی. ۷- استقرار نظام ملی احسان و نیکوکاری و ایجاد ,"بسط و تأمین عدالت اجتماعی، کاهش فاصله طبقاتی با هدفمندسازی یارانه‌ها، دسترسی آحاد جامعه به خدمات تأمین اجتماعی، توانمندسازی، "
و استفاده از تولیدات داخلی به عنوان ارزش اسلامی و ملی با بهره گیری از نظام آموزشی و تبلیغی ,"والسّلام عليكم و رحمةاللَّه‌ 28/04/1390 بسم الله الرحمن الرحیم سیاستهای کلی اشتغال ۱ـ ترویج و تقویت فرهنگ کار، تولید، "
را هم در نظر دارم؛ این جور نیست که آنها را ذی‌حق ندانیم ــ حالا بعد هم عرض ,"بوده، به معنای این است که کارگران ما در میدان اقتصادی، در صفوف مقدّم، ایستادند. بنده البتّه حقّ "
"خوبی داریم، کارگران خوب و کشاورزان خوبی داریم، معلّمان خوبی داریم، استادان خوبی داریم. کارها به دست افرادی ","که به‌صورت یک گفتمانِ قطعی دربیاید.  ما جوانهای پُرانگیزه‌ای داریم، افراد متخصّصی داریم، تولیدکنندگان خوبی داریم، "
"که حالا در این نمایشگاهی که به من نشان دادند، خیلی از اینها را فی‌الجمله بسیج دنبالش است ","باشند؛ در بخش نظامی، در بخش علمی، در بخش خدمت‌رسانی، در تعلیم و تربیت، در تبیین، در تبلیغ، در "
